model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
strict_lejepa,meeting_room,39,rotation,71.42857142857143,70.65217391304348,71.03825136612022,70.96774193548387,71.73913043478261,71.35135135135135,92,0.3083488345146179,0.328894704580307
strict_lejepa,meeting_room,39,jump,61.6822429906542,83.54430379746836,70.96774193548387,63.725490196078425,82.27848101265823,71.8232044198895,79,0.3319847583770752,0.33851948380470276
strict_lejepa,meeting_room,39,wave,69.6969696969697,80.23255813953489,74.5945945945946,72.3404255319149,79.06976744186046,75.55555555555556,86,0.3528486490249634,0.36740341782569885
strict_lejepa,meeting_room,39,lie_down,85.22727272727273,81.52173913043478,83.33333333333334,83.14606741573034,80.43478260869566,81.76795580110497,92,0.28973573446273804,0.30547982454299927
strict_lejepa,meeting_room,39,pick_up,67.64705882352942,69.6969696969697,68.65671641791045,56.9620253164557,68.18181818181817,62.06896551724138,66,0.27216359972953796,0.3122270405292511
strict_lejepa,meeting_room,39,sit_down,81.81818181818183,58.44155844155844,68.18181818181817,71.875,59.74025974025974,65.24822695035462,77,0.22953076660633087,0.2553767263889313
strict_lejepa,meeting_room,39,stand_up,75.67567567567568,62.92134831460674,68.71165644171779,73.91304347826086,57.30337078651685,64.55696202531645,89,0.24742062389850616,0.2729177176952362
strict_lejepa,meeting_room,40,walk,98.85057471264368,90.52631578947368,94.5054945054945,97.70114942528735,89.47368421052632,93.4065934065934,95,0.24807164072990417,0.2570243775844574
strict_lejepa,meeting_room,40,rotation,65.85365853658537,88.04347826086956,75.34883720930232,62.903225806451616,84.78260869565217,72.22222222222221,92,0.357923299074173,0.38155096769332886
strict_lejepa,meeting_room,40,jump,60.65573770491803,93.67088607594937,73.6318407960199,60.16260162601627,93.67088607594937,73.26732673267327,79,0.37973248958587646,0.3855520486831665
strict_lejepa,meeting_room,40,wave,69.3069306930693,81.3953488372093,74.8663101604278,68.22429906542055,84.88372093023256,75.64766839378238,86,0.34263283014297485,0.37396734952926636
strict_lejepa,meeting_room,40,lie_down,77.89473684210526,80.43478260869566,79.14438502673798,75.25773195876289,79.34782608695652,77.24867724867724,92,0.3028380274772644,0.32310545444488525
strict_lejepa,meeting_room,40,pick_up,63.41463414634146,78.78787878787878,70.27027027027027,53.333333333333336,84.84848484848484,65.49707602339181,66,0.2901551425457001,0.3667338788509369
strict_lejepa,meeting_room,40,sit_down,66.27906976744185,74.02597402597402,69.93865030674846,59.80392156862745,79.22077922077922,68.15642458100558,77,0.3083568215370178,0.364431768655777
strict_lejepa,meeting_room,40,stand_up,69.51219512195121,64.04494382022472,66.66666666666666,64.58333333333334,69.66292134831461,67.02702702702703,89,0.28678494691848755,0.3381272554397583
